"Product","CR","AIV","MD","Price"
"Product1",-6.30102635532149,0.335415665834454,-1.06161164204521,-0.512475521489692
"Product2",1.4195507346754,-0.107247602294454,0.667254130433658,-0.00258476719025152
"Product3",5.5937480010303,-2.71404889761713,1.11116475204825,-0.533575684329651
"Product4",-12.1539365962715,1.70540788187112,-2.53622587339526,1.20150750025437
"Product5",1.92607300138243,-0.489949438440271,-0.0380396692585138,-0.164677418218918
"Product6",2.56623178683182,-0.340449840266364,0.889465328761363,-0.0658217575976549
"Product7",-2.71845040358323,-0.432692250465741,-0.480114857989998,0.0279092180792342
"Product8",-2.7080575586812,1.41056909213139,0.604029929429555,1.81143656337632
"Product9",-2.62282400204941,-0.751658949615472,-0.378571223947851,-0.572770442915238
"Product10",-4.62426662075672,1.1321737810983,0.261926940247692,-0.0294943218459509
"Product11",-2.51524516364766,-0.798946708000326,-0.623252766858328,-1.66949860089797
"Product12",-4.91407057058371,2.33746328435675,-0.945684821320972,2.07807402822271
"Product13",-4.28457612472933,0.716120008105554,-0.512644732013918,1.01575905661461
"Product14",0.0139416445338197,-1.06197476294677,-0.587121983715404,-0.763643111377526
"Product15",5.00175890416501,-1.25007414069009,2.05546727663729,-1.13834003616467
"Product16",-1.14126148622418,-0.660279547522836,-1.17688621666381,-1.53988341060259
"Product17",-2.42535957144214,0.812685960782307,-0.884375851016751,0.226309713691176
"Product18",-4.32692171817068,2.84815548007759,0.309801421624087,1.67029017651684
"Product19",-4.20154042698937,2.73684120942796,-0.196930521392239,1.3178330163037
"Product20",12.5164590561785,-1.46746694128069,2.14250308133209,0.0932302688475839
"Product21",0.701900701884583,0.440753881104254,0.303860551447421,0.416381101736075
"Product22",-2.51277513790158,1.00051683452108,-0.0401660988893435,0.969073486247453
"Product23",-1.89077595522921,0.597434190501278,-1.03984137918073,0.184246687752827
"Product24",2.35546687061463,-1.29763123336325,-0.591500705839042,-1.18346847509546
"Product25",-4.07101842031961,0.759221566110761,0.00141620387205987,0.827524366916497
"Product26",-7.17954319626751,1.80209968150027,-0.872610671858368,-0.177525068856321
"Product27",2.98759100078171,-2.08639325633952,-0.285206389393315,-0.587875702089681
"Product28",-5.12386678702456,0.0668608515401149,-0.748596860409803,0.533613519615292
"Product29",0.157910850289854,0.309301313802359,-0.271821909288919,0.424618767579594
"Product30",-4.78293495941258,1.16439772189656,-0.497384980322402,0.10461935754954
"Product31",5.74144441625793,-1.32944555425983,0.543983490944077,-0.922267904893435
