"Product","PPC","Display","Budget","Competitor"
"Product1",-1.88653373718462,1.37705462064516,-0.0314456056984861,0.985445150320539
"Product2",0.528836432888449,0.232838109762666,-1.22762032097695,-0.173279109345465
"Product3",-0.152345213744166,-0.804338825674384,-0.145097564649227,0.0884973150257948
"Product4",-2.37197441797412,2.19195197066561,-0.806392902692322,0.371065044989873
"Product5",1.36882665570415,0.969883059440107,1.47989379546887,1.5154438795324
"Product6",0.634224189598845,-0.492028884060964,-0.580585755685077,-2.53020073458386
"Product7",-2.16353647161873,-0.0335382824786787,-0.613868736802175,-0.0713321217117867
"Product8",-0.419427729095527,-0.201266094052222,-0.166821635650655,2.38776246312104
"Product9",-2.84056991268906,-1.08812313548457,0.183388223418396,0.981376939149602
"Product10",-0.904232422554694,1.8700746608452,-1.84941331251379,-0.272989468317441
"Product11",-1.5457243114016,-0.608824548274833,-0.331362333192005,-0.156820386931436
"Product12",-0.392987788716894,0.948405439376201,0.111190902283305,2.12724171273892
"Product13",0.429757195852036,1.21196155539841,-1.06484114257142,2.25814191401929
"Product14",0.520284818003357,0.178879049019009,0.683192951152603,2.56340266550236
"Product15",0.0753335441397007,-1.06622832489398,-0.778202472497256,1.51021478007332
"Product16",1.31029776522185,1.87994602565548,0.837844834938489,0.427642845339818
"Product17",-1.05664170572858,-1.61927250859491,1.04675525684379,-0.427488594239787
"Product18",-0.933628768845317,0.0609950467479695,-0.627732455237554,0.0489029744151637
"Product19",0.0143817926458479,-0.371804229613192,0.075603127774208,-1.01910842569365
"Product20",3.37078185234141,-0.80507325497566,0.168234583608089,0.231010997319572
"Product21",0.49336653781695,-1.23907037407803,0.32588832369218,0.509718308341011
"Product22",-0.0785202016972172,0.731003245075051,-0.707592979766626,0.405371312272159
"Product23",-1.39131604835221,-0.173530420897276,0.407198845865941,-0.224886792698537
"Product24",-0.0799058048302712,-1.69685454039897,0.956243978062836,-2.01976940219611
"Product25",0.797318477590518,1.82092688201222,-0.1910323618294,0.17511564370267
"Product26",-2.64809020701084,-0.383389452147813,-0.213220606202551,-0.863068074824278
"Product27",-0.270387596556595,0.0318977206297293,-0.0342828228911648,-0.111134505587609
"Product28",-2.36748179147214,-1.56076295658697,-0.505758131967404,-0.301887477964335
"Product29",-0.225422147397203,0.0590701798074821,-0.686270613360367,-0.33327845846525
"Product30",-1.10929180391776,0.352875114669415,-0.661270781945213,-0.64142508532769
"Product31",0.858163350268498,-1.26947392226878,0.375660301917334,-0.504084705788285
"Product32",-1.63706907266967,-1.38794305214336,0.135072542822729,0.64736113300312
"Product33",-1.43776609437043,-1.52278238200293,0.00790434131191901,1.491501850855
"Product34",-0.390225559628601,0.131896056515159,0.78989578716266,0.841113628241466
